"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009185","ribonucleoside diphosphate metabolic process",35,0.786197658065676,2.75565009789059,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=60%, list=10%, signal=54%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0019364","pyridine nucleotide catabolic process",32,0.797961500599832,2.75015210237358,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=66%, list=10%, signal=59%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YHR202W/YLR446W/YDL021W/YOR344C/YGR240C/YOL056W/YGR192C/YOR347C"
"GO:0009134","nucleoside diphosphate catabolic process",32,0.795229721332981,2.74073710116324,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=66%, list=10%, signal=59%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0009132","nucleoside diphosphate metabolic process",38,0.773195123956145,2.7352868543367,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=55%, list=10%, signal=50%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0009191","ribonucleoside diphosphate catabolic process",31,0.803316512583502,2.72848446326095,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=68%, list=10%, signal=61%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0009154","purine ribonucleotide catabolic process",32,0.790482777130889,2.72437689009113,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=62%, list=10%, signal=56%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YOL056W/YGR192C/YOR347C"
"GO:0006195","purine nucleotide catabolic process",35,0.776091281827018,2.72022689815746,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=60%, list=10%, signal=54%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YHR202W/YLR446W/YDL021W/YOR344C/YGR240C/YOL056W/YGR192C/YOR347C"
"GO:0009261","ribonucleotide catabolic process",33,0.792722690113878,2.72018716720252,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=64%, list=10%, signal=57%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YER005W/YOL056W/YGR192C/YOR347C"
"GO:0072523","purine-containing compound catabolic process",46,0.740998256373529,2.69354208541442,1e-10,6.02142857142857e-09,4.59774436090226e-09,336,"tags=48%, list=6%, signal=45%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YNL141W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDL238C/YDR050C/YJR009C/YHR202W/YER043C/YLR446W/YDL021W/YOR344C/YIR027C/YGR240C"
"GO:0009135","purine nucleoside diphosphate metabolic process",33,0.784951922252958,2.69352217668541,1e-10,6.02142857142857e-09,4.59774436090226e-09,614,"tags=61%, list=10%, signal=55%","YJL052W/YCR012W/YHR174W/YKL060C/YAL038W/YKL152C/YGL253W/YGR254W/YPL075W/YOL136C/YBR196C/YDR050C/YJR009C/YLR446W/YDL021W/YOR344C/YGR240C/YOL056W/YGR192C/YOR347C"
